,word,tfidf
0,109,1979360.488850197
1,11,3777598.2333944496
2,140,1990791.034398739
3,1437625685,2270882.3210915583
4,1518,1975993.8506062406
5,152,2710304.988812218
6,1cunkinternal,1382698.562949293
7,1registry,464375.5201799602
8,2059603325,2270882.3210915583
9,21,2402912.729626869
10,2600630385,2270882.3210915583
11,2_0,1349671.6374925482
12,2d64b439,1124152.713203666
13,40cb,1129682.7114244984
14,4d95,1101169.9016999179
15,4f6b,1124190.2624648046
16,500,1520152.4337178527
17,500_classes,1180373.6860717265
18,5700,2707577.8628675616
19,611f7c377702,1099485.9576720125
20,6caf,1124152.713203666
21,9021,3715458.992775592
22,909b,1099485.9576720125
23,_cicos,547362.3512021363
24,a22d52c1,1129237.7323251404
25,a8f4,1099640.8253438019
26,activateaudiointerfaceasync,6369921.523726598
27,adderexcludedapplicationa,3762910.501587199
28,administrator,11989908.942592839
29,ae78,1129342.3324109889
30,app,1582714.06008645
31,appdata,12435440.701653255
32,application,2584705.215139745
33,appmodel,1053546.1876654543
34,b688,1124152.713203666
35,basepcheckbadapp,718722.1477803374
36,basepqueryappcompat,720907.9070097896
37,basethreadinitthunk,17456617.886723943
38,bin,2147195.8794352673
39,buttons,3334963.0929725175
40,c49b777b,2703992.816857723
41,cache,1658237.1873457176
42,callnexthookex,3874412.2283914834
43,callstack,28582952.48828266
44,category,1638341.8574312543
45,cc,706250.3416244995
46,certgetenhancedkeyusage,1210521.9427100031
47,certificates,673655.4769709262
48,cf7e00b1,1099485.9576720125
49,chrome,1901412.4833213708
50,classes,1334968.7460122635
51,clearphishingfilterdata,2307870.7471002787
52,clsid,1879078.5420011028
53,cm_get_device_id_exa,707941.5296599559
54,cm_get_device_id_size_ex,3791840.6308176746
55,cm_get_devnode_property_exw,1032697.0683575514
56,cm_get_devnode_propertyw,2079312.7061956162
57,cm_get_devnode_status,696116.7062704971
58,cm_setup_devnode,6342594.792763796
59,cm_unregister_notification,4115129.741933471
60,cn,1507992.6268805314
61,cocreateinstance,5301863.727306873
62,cocreateinstanceex,2275622.9874252495
63,cofreeunusedlibraries,1980042.8055735512
64,cogettreatasclass,6429794.79641172
65,coinitializesecurity,9546055.986524265
66,cointernetisfeatureenabled,2716747.5003753533
67,com,2617612.7528860066
68,comarshalinterthreadinterfaceinstream,4954658.835228152
69,control,5014766.714422023
70,core_perl,2547723.9474073607
71,coregistersurrogateex,1228081.073143749
72,cpacquirecontext,4696552.936733709
73,cpublishwmioperationevent,461706.1489242159
74,createcorewebview,1121617.2483903721
75,createfilew,9743604.22221245
76,createprocessinternalw,1362925.3308886206
77,createprocessw,1302344.998178742
78,createremotethreadex,871395.2280229379
79,cryptacquirecontexta,1515156.4265620876
