,word,tfidf
80,cryptacquirecontextw,2705080.1823307867
81,cryptgethashparam,2211963.5308014583
82,cryptimportpkcs8,2171493.9576020096
83,cryptmemrealloc,2879121.138505267
84,cryptmsggetparam,3639624.139638496
85,cryptmsgverifycountersignatureencodedex,1224044.3257249484
86,cryptography,1960231.1153425649
87,cryptverifymessagesignaturewithkey,3574713.153590387
88,ctls,627991.0500494422
89,currentcontrolset,5892475.939528879
90,currentversion,3421541.9280605726
91,cwin32defaultarena,942142.3440765248
92,data,4683335.114274211
93,dbfd,1129237.7323251404
94,default,6994453.162755873
95,deletefilew,594853.1643316167
96,desktop,1303816.190953405
97,devobjgetdeviceproperty,1035317.4782760595
98,dispatchmessagew,1180951.1624898214
99,dispcallfunc,3918559.3203311926
100,dll,6557804.73408666
101,dllcanunloadnow,4078778.749097129
102,dllgetclassobject,13756653.232652986
103,doc,2535214.2620099466
104,duplicateicon,7055193.5575404875
105,e3ba9ee1d88f,1129237.7323251404
106,e5d0f4faa7d7,1124152.713203666
107,edgewebview,1979708.216747496
108,els,4246303.332545897
109,enumchildwindows,1368869.048482581
110,enumdisplaydevicesw,1643580.5256547865
111,enumwindows,1372463.6145095457
112,exe,2910124.116295298
113,explorer,1418243.407615651
114,extensions,2819087.5686229207
115,fileiocleanup,6885920.7534691915
116,fileioclose,6475660.36147703
117,fileiocreate,8346404.470099365
118,fileiodelete,558412.9758594454
119,fileiofilecreate,3034332.350965305
120,fileiofiledelete,1008105.3174107498
121,fileioread,7376994.270590731
122,fileiorename,992493.6556685388
123,fileiowrite,9009498.799650252
124,files,13873631.073645618
125,findfirstfileexw,5005387.335962008
126,findfirstfilew,3681606.119438879
127,firemail,705581.7269888734
128,flushfilebuffers,1440933.4224604764
129,getcataloghelper,1648223.3133993181
130,getcurrentthreadstacklimits,5278745.2853747215
131,getfileattributesexw,532311.4187292587
132,getfileversioninfosizeexw,1366204.7299881114
133,gethglobalfromstream,3259980.8033571783
134,getlogicalprocessorinformationex,3266508.5293989745
135,getmessagew,1192024.114109545
136,getzonefromalternatedatastreamex,753495.8661088351
137,git,9819189.132200107
138,google,1797789.5640378327
139,hashdata,5217533.637128838
140,hrm,719228.8778156969
141,html,2590684.3153284485
142,id,2806263.939253623
143,ilclonefirst,3078594.7482107063
144,ilisparent,3291558.8442334062
145,image,776668.2504600073
146,img,1678727.0219688723
147,info,1071418.035403801
148,initializelpkhooks,1193969.2605837346
149,inprocserver32,707000.3409088796
150,interfaces,1206420.6099310967
151,iqiyi,3509861.3293249616
152,joystick,746780.090920253
153,js,1767281.470581291
154,jsvartoextension,4485844.780650163
155,kingsoft,3779644.9989723098
156,ldrresrelease,16032403.034579437
157,ldrsetappcompatdllredirectioncallback,16032506.831641959
158,lib,4300922.463613634
159,loadappinitdlls,1157226.0704901093
160,loadlibraryexa,1130763.114422277
161,loadlibraryexw,3719681.7955274144
162,loadlibraryw,1103861.370074131
163,loadstringbyreference,1164559.2918033802
164,local,9656613.30331192
165,locales,2504053.1304587084
166,log,976360.8852170531
167,lookaside,1033062.5268777541
168,lstyle,3494303.7950947853
169,machine,3565075.43789304
170,machineguid,795703.1368420175
171,mappredefinedhandleinternal,4281445.063015094
172,mcjglbmjoa,1441713.537779086
173,mediaproperties,766914.8797840755
174,microsoft,9688160.718081092
175,mingw64,3965788.849478642
176,mmdrvinstall,5408592.422194054
177,movefileexw,2425160.410683347
178,movefilew,1668111.633846849
179,movefilewithprogresstransactedw,3525938.2639089394
180,movefilewithprogressw,3526550.5759047456
181,mui,3318775.304382336
182,mxdmessage,1057193.6941532327
183,name,605920.586968845
184,nt,572905.3070033661
185,objectstublessclient21,862965.9107277389
186,objectstublessclient23,2788494.585209085
187,objectstublessclient24,37325433.25211081
188,objectstublessclient3,3375736.1314083165
189,objectstublessclient6,11009348.506770605
190,oem,740939.4344409743
191,office,3779870.747187209
192,office6,3724092.1993817976
193,opendriver,1075462.9983209975
194,pak,2709239.704193541
195,parameters,1412527.977197355
196,path,764543.4851885225
197,pathisdirectoryw,1562146.889196541
198,pathisexeworker,4386664.529124662
199,pathmakesystemfolderw,943434.1570234665
200,perl5,3122153.933756793
201,pid_c52b,820191.5438121737
202,pl,1374314.4457502651
203,pm,1484782.3022662294
204,png,4276877.181501839
205,policies,1434803.1948709767
206,privateproperties,766859.8765602438
207,program,13592571.91711235
208,psswalksnapshot,26889377.057882458
209,publishstop,461706.1489242159
210,qae,2071958.549799953
211,qq,1827056.8981635903
212,qqbrowser,3106526.7397005833
213,qqguild,1418905.4295467555
214,readfile,4968300.209736884
215,regclosekey,2288454.0795612885
216,reggetvaluew,1608432.774044415
217,registry,4957132.931499986
218,registrycreate,1012254.8225446683
219,registryopen,9023412.25943769
220,registryquery,11741826.022584395
221,registryqueryvalue,7792437.907281238
222,registrysetinformation,1940119.5082959516
223,registrysetvalue,495198.62577664107
224,regopencurrentuser,751474.1420362383
225,regopenhkcukeyexu,1548080.5295936903
226,regopenkeyexa,4815470.339679793
227,regopenkeyexinternala,4815620.967964251
228,regopenkeyexinternalw,4957345.801586971
229,regopenkeyexw,4673757.257995999
230,regqueryvalueexa,2638678.400670306
231,regqueryvalueexw,9135362.169429095
232,res,1289383.395573687
233,resource,2392889.383873282
234,resources,1925132.6149583994
235,roaming,5704914.510402416
236,rtlcompactheap,6869334.579344132
237,rtlconvertulongtolargeinteger,2369589.5039278683
238,rtldestroymemoryblocklookaside,23527393.16085593
239,rtlntstatustodoserror,1362689.8212020441
240,rtlsubauthoritycountsid,40001921.38874935
241,rtlwnfdllunloadcallback,497032.3892819325
242,runhtmlapplication,2775710.253571598
243,runonce,1446891.9976584224
244,se_dllloaded,2814815.7976615117
245,se_processdying,1801515.920248405
246,services,5459767.7231910415
247,setfileattributesw,806025.8726472938
248,sghpax,942142.3440765248
249,sgjkjpag,461706.1489242159
250,share,6354253.679332811
251,shbindtoobject,1725935.8382401268
252,shcreateshellitem,5095913.825790451
253,shcreateshellitemarrayfromshellitem,7388398.925210114
254,shell,791256.1909546887
255,shellexecuteexw,10117577.525976818
256,shellexecutew,2003494.8543473317
257,shgetfileinfowworker,3346321.276379872
258,shgetfolderlocationworker,910926.4225774994
259,shgetknownfolderidlist,1126515.0285722092
260,shgetknownfolderitem,1686698.0724965108
261,shgetspecialfolderlocation,910766.7423175061
262,shparsedisplayname,8045407.1807588795
263,shrestricted,1376577.087446575
264,skin,3212846.069635808
265,sleep,1123396.1378281962
266,software,8898114.93287651
267,steam,1971424.5737930536
268,stellarplayer,3510800.340969456
269,stringfromclsid,3903192.5117886537
270,supportdecrypt,705581.7269888734
271,svg,1417961.2108062196
272,syntax,1288752.9842329675
273,system,8918390.449870197
274,system32,3835576.3188555036
275,systemcertificates,1508588.6250279078
276,syswow64,1213114.6629198035
277,tcl8,2209096.770828917
278,tcpip,915530.9083270315
279,temp,3527080.745825642
280,tencent,5547077.80685094
281,tf_isctfmonrunning,4316045.335310949
282,threadend,909009.993168419
283,threadstart,914299.4818536196
284,txt,2385286.040461358
285,type,1273884.1261501545
286,tzdata,1615607.7429521244
287,tzres,1786155.1674899391
288,uae,1962195.186978903
289,unicore,1454630.9110543123
290,update,2718605.953856707
291,user,5082564.9861869095
292,userclientdllinitialize,3712156.034708003
293,users,13149943.544239383
294,usr,6410806.124215117
295,vid_046d,820257.4004040927
296,video,3528429.5075322166
297,vim,5758273.8152470095
298,vim90,3350112.7708790055
299,waitforsingleobjectex,14240728.54192252
300,waveinopen,1040970.8975421725
301,wbemheapinitialize,942142.3440765248
302,werreportclosehandle,3637900.8984746067
303,windows,8890821.686979927
304,winverifytrust,3237921.1055381205
305,wodmessage,7229918.228294331
306,wow6432node,1395358.589693312
307,wps,3902216.686467653
308,writefile,8137714.393911456
309,x86,7794507.78196841
310,xml,1273654.9320019842
311,xz,6662591.605194479
312,zh,1548826.8578626877
313,zip,1825545.9406318406
